ID,s1_wav,s2_wav,mix_wav,s1_class,s2_class
46,/iitjhome/m23mac003/VOX2/id00017/M6PYYNz3pac/00032.wav,/iitjhome/m23mac003/VOX2/id01593/DTLNY8F4ttQ/00161.wav,/iitjhome/m23mac003/TRAIN_MIX/46.wav,0,23
47,/iitjhome/m23mac003/VOX2/id00017/ddLPBVSzuPs/00103.wav,/iitjhome/m23mac003/VOX2/id01618/xNW1lBhoHYY/00196.wav,/iitjhome/m23mac003/TRAIN_MIX/47.wav,0,24
48,/iitjhome/m23mac003/VOX2/id00017/kQJq9nFET5M/00137.wav,/iitjhome/m23mac003/VOX2/id01618/It8UNBXOgrU/00068.wav,/iitjhome/m23mac003/TRAIN_MIX/48.wav,0,24
49,/iitjhome/m23mac003/VOX2/id00017/X9M79aB1RS4/00091.wav,/iitjhome/m23mac003/VOX2/id01822/bCs5SoifsiY/00126.wav,/iitjhome/m23mac003/TRAIN_MIX/49.wav,0,25
50,/iitjhome/m23mac003/VOX2/id00017/MuKhvYeekXU/00035.wav,/iitjhome/m23mac003/VOX2/id01822/wvq2bipo_n4/00229.wav,/iitjhome/m23mac003/TRAIN_MIX/50.wav,0,25
51,/iitjhome/m23mac003/VOX2/id00017/lvX8diWgriA/00181.wav,/iitjhome/m23mac003/VOX2/id01892/7sODin7rirc/00068.wav,/iitjhome/m23mac003/TRAIN_MIX/51.wav,0,26
52,/iitjhome/m23mac003/VOX2/id00017/7t6lfzvVaTM/00011.wav,/iitjhome/m23mac003/VOX2/id01892/7sODin7rirc/00030.wav,/iitjhome/m23mac003/TRAIN_MIX/52.wav,0,26
53,/iitjhome/m23mac003/VOX2/id00017/E6aqL_Nc410/00028.wav,/iitjhome/m23mac003/VOX2/id01989/x3EURaDe9gM/00160.wav,/iitjhome/m23mac003/TRAIN_MIX/53.wav,0,27
54,/iitjhome/m23mac003/VOX2/id00017/ddLPBVSzuPs/00102.wav,/iitjhome/m23mac003/VOX2/id01989/x3EURaDe9gM/00163.wav,/iitjhome/m23mac003/TRAIN_MIX/54.wav,0,27
55,/iitjhome/m23mac003/VOX2/id00017/iJOjkDq6rW8/00128.wav,/iitjhome/m23mac003/VOX2/id02019/t2eGS0unq7o/00256.wav,/iitjhome/m23mac003/TRAIN_MIX/55.wav,0,28
56,/iitjhome/m23mac003/VOX2/id00017/UGu7qDKCDd8/00071.wav,/iitjhome/m23mac003/VOX2/id02019/dXAiZSJYaCE/00186.wav,/iitjhome/m23mac003/TRAIN_MIX/56.wav,0,28
57,/iitjhome/m23mac003/VOX2/id00017/X9M79aB1RS4/00094.wav,/iitjhome/m23mac003/VOX2/id02057/pjklCsDxG60/00376.wav,/iitjhome/m23mac003/TRAIN_MIX/57.wav,0,29
58,/iitjhome/m23mac003/VOX2/id00017/iJOjkDq6rW8/00118.wav,/iitjhome/m23mac003/VOX2/id02057/ZGYKV8UXJUY/00287.wav,/iitjhome/m23mac003/TRAIN_MIX/58.wav,0,29
59,/iitjhome/m23mac003/VOX2/id00017/8_a6O3vdlU0/00015.wav,/iitjhome/m23mac003/VOX2/id02086/I5Lm0Qce5kg/00214.wav,/iitjhome/m23mac003/TRAIN_MIX/59.wav,0,30
60,/iitjhome/m23mac003/VOX2/id00017/yEXiX8Y2qoQ/00204.wav,/iitjhome/m23mac003/VOX2/id02086/2GFhQ3NUBzk/00034.wav,/iitjhome/m23mac003/TRAIN_MIX/60.wav,0,30
61,/iitjhome/m23mac003/VOX2/id00017/b5TvWN3x0HA/00097.wav,/iitjhome/m23mac003/VOX2/id02181/DawmE0eeiQ4/00035.wav,/iitjhome/m23mac003/TRAIN_MIX/61.wav,0,31
62,/iitjhome/m23mac003/VOX2/id00017/8_a6O3vdlU0/00017.wav,/iitjhome/m23mac003/VOX2/id02181/DawmE0eeiQ4/00037.wav,/iitjhome/m23mac003/TRAIN_MIX/62.wav,0,31
63,/iitjhome/m23mac003/VOX2/id00017/lvX8diWgriA/00188.wav,/iitjhome/m23mac003/VOX2/id02286/bXpavyiCu10/00132.wav,/iitjhome/m23mac003/TRAIN_MIX/63.wav,0,32
64,/iitjhome/m23mac003/VOX2/id00017/OLguY5ofUrY/00045.wav,/iitjhome/m23mac003/VOX2/id02286/AVABsxQ4yYM/00045.wav,/iitjhome/m23mac003/TRAIN_MIX/64.wav,0,32
65,/iitjhome/m23mac003/VOX2/id00017/kN2iEvnTHc4/00136.wav,/iitjhome/m23mac003/VOX2/id02317/Ve5jp4mbuSc/00336.wav,/iitjhome/m23mac003/TRAIN_MIX/65.wav,0,33
66,/iitjhome/m23mac003/VOX2/id00017/OLguY5ofUrY/00039.wav,/iitjhome/m23mac003/VOX2/id02317/IR0psXbOjdc/00182.wav,/iitjhome/m23mac003/TRAIN_MIX/66.wav,0,33
67,/iitjhome/m23mac003/VOX2/id00017/OLguY5ofUrY/00042.wav,/iitjhome/m23mac003/VOX2/id02445/GbE1KUG6IUM/00022.wav,/iitjhome/m23mac003/TRAIN_MIX/67.wav,0,34
68,/iitjhome/m23mac003/VOX2/id00017/lZf1RB6l5Gs/00148.wav,/iitjhome/m23mac003/VOX2/id02445/I0NOfHQycvw/00028.wav,/iitjhome/m23mac003/TRAIN_MIX/68.wav,0,34
69,/iitjhome/m23mac003/VOX2/id00017/lvX8diWgriA/00166.wav,/iitjhome/m23mac003/VOX2/id02465/6jp5YsZYtHI/00022.wav,/iitjhome/m23mac003/TRAIN_MIX/69.wav,0,35
70,/iitjhome/m23mac003/VOX2/id00017/U7PMtQkYWo8/00060.wav,/iitjhome/m23mac003/VOX2/id02465/1gdoIGJ_37w/00017.wav,/iitjhome/m23mac003/TRAIN_MIX/70.wav,0,35
71,/iitjhome/m23mac003/VOX2/id00017/iJOjkDq6rW8/00125.wav,/iitjhome/m23mac003/VOX2/id02542/gMKSu2wZpAA/00057.wav,/iitjhome/m23mac003/TRAIN_MIX/71.wav,0,36
72,/iitjhome/m23mac003/VOX2/id00017/U7PMtQkYWo8/00062.wav,/iitjhome/m23mac003/VOX2/id02542/gMKSu2wZpAA/00061.wav,/iitjhome/m23mac003/TRAIN_MIX/72.wav,0,36
73,/iitjhome/m23mac003/VOX2/id00017/kQJq9nFET5M/00137.wav,/iitjhome/m23mac003/VOX2/id02548/f8JSEEzS6W8/00273.wav,/iitjhome/m23mac003/TRAIN_MIX/73.wav,0,37
74,/iitjhome/m23mac003/VOX2/id00017/lZf1RB6l5Gs/00160.wav,/iitjhome/m23mac003/VOX2/id02548/TYBN-jJjb7U/00204.wav,/iitjhome/m23mac003/TRAIN_MIX/74.wav,0,37
75,/iitjhome/m23mac003/VOX2/id00017/kQJq9nFET5M/00138.wav,/iitjhome/m23mac003/VOX2/id02576/C5Maleh71A8/00065.wav,/iitjhome/m23mac003/TRAIN_MIX/75.wav,0,38
76,/iitjhome/m23mac003/VOX2/id00017/OLguY5ofUrY/00040.wav,/iitjhome/m23mac003/VOX2/id02576/1oWKkGI0Zso/00019.wav,/iitjhome/m23mac003/TRAIN_MIX/76.wav,0,38
77,/iitjhome/m23mac003/VOX2/id00017/lZf1RB6l5Gs/00159.wav,/iitjhome/m23mac003/VOX2/id02577/Q6n4Do43GAg/00044.wav,/iitjhome/m23mac003/TRAIN_MIX/77.wav,0,39
78,/iitjhome/m23mac003/VOX2/id00017/gjYcaCzo7UU/00108.wav,/iitjhome/m23mac003/VOX2/id02577/Q6n4Do43GAg/00043.wav,/iitjhome/m23mac003/TRAIN_MIX/78.wav,0,39
79,/iitjhome/m23mac003/VOX2/id00017/M6PYYNz3pac/00032.wav,/iitjhome/m23mac003/VOX2/id02685/g5XkvDlJN9U/00081.wav,/iitjhome/m23mac003/TRAIN_MIX/79.wav,0,40
80,/iitjhome/m23mac003/VOX2/id00017/7t6lfzvVaTM/00004.wav,/iitjhome/m23mac003/VOX2/id02685/UHO22QTETEM/00051.wav,/iitjhome/m23mac003/TRAIN_MIX/80.wav,0,40
81,/iitjhome/m23mac003/VOX2/id00017/lZf1RB6l5Gs/00140.wav,/iitjhome/m23mac003/VOX2/id02725/48uYS3bHIA8/00019.wav,/iitjhome/m23mac003/TRAIN_MIX/81.wav,0,41
82,/iitjhome/m23mac003/VOX2/id00017/tIpW24N_Ysk/00196.wav,/iitjhome/m23mac003/VOX2/id02725/vGPYBT4eeWk/00035.wav,/iitjhome/m23mac003/TRAIN_MIX/82.wav,0,41
83,/iitjhome/m23mac003/VOX2/id00017/lvX8diWgriA/00178.wav,/iitjhome/m23mac003/VOX2/id02745/b68599Z0NJw/00096.wav,/iitjhome/m23mac003/TRAIN_MIX/83.wav,0,42
84,/iitjhome/m23mac003/VOX2/id00017/lZf1RB6l5Gs/00154.wav,/iitjhome/m23mac003/VOX2/id02745/joZLV0SUzfE/00101.wav,/iitjhome/m23mac003/TRAIN_MIX/84.wav,0,42
85,/iitjhome/m23mac003/VOX2/id00017/lvX8diWgriA/00180.wav,/iitjhome/m23mac003/VOX2/id03030/s9vy-fOk6CA/00291.wav,/iitjhome/m23mac003/TRAIN_MIX/85.wav,0,43
86,/iitjhome/m23mac003/VOX2/id00017/lZf1RB6l5Gs/00153.wav,/iitjhome/m23mac003/VOX2/id03030/yl-93nl6Skc/00347.wav,/iitjhome/m23mac003/TRAIN_MIX/86.wav,0,43
87,/iitjhome/m23mac003/VOX2/id00017/8_a6O3vdlU0/00013.wav,/iitjhome/m23mac003/VOX2/id03041/uuNqiQ_Ij0U/00035.wav,/iitjhome/m23mac003/TRAIN_MIX/87.wav,0,44
88,/iitjhome/m23mac003/VOX2/id00017/UGu7qDKCDd8/00069.wav,/iitjhome/m23mac003/VOX2/id03041/w1_4_lFK7RI/00050.wav,/iitjhome/m23mac003/TRAIN_MIX/88.wav,0,44
89,/iitjhome/m23mac003/VOX2/id00017/U7PMtQkYWo8/00065.wav,/iitjhome/m23mac003/VOX2/id03127/CkoaDgoj_-o/00060.wav,/iitjhome/m23mac003/TRAIN_MIX/89.wav,0,45
90,/iitjhome/m23mac003/VOX2/id00017/AXAl9BX9-sQ/00025.wav,/iitjhome/m23mac003/VOX2/id03127/1HwYkgTuJNQ/00003.wav,/iitjhome/m23mac003/TRAIN_MIX/90.wav,0,45
91,/iitjhome/m23mac003/VOX2/id00017/X9M79aB1RS4/00091.wav,/iitjhome/m23mac003/VOX2/id03178/eFZzhwgI50I/00251.wav,/iitjhome/m23mac003/TRAIN_MIX/91.wav,0,46
92,/iitjhome/m23mac003/VOX2/id00017/lZf1RB6l5Gs/00150.wav,/iitjhome/m23mac003/VOX2/id03178/KHelFt1Jyyg/00069.wav,/iitjhome/m23mac003/TRAIN_MIX/92.wav,0,46
93,/iitjhome/m23mac003/VOX2/id00017/7t6lfzvVaTM/00005.wav,/iitjhome/m23mac003/VOX2/id03347/fNJ7ttOFOkI/00282.wav,/iitjhome/m23mac003/TRAIN_MIX/93.wav,0,47
94,/iitjhome/m23mac003/VOX2/id00017/lZf1RB6l5Gs/00143.wav,/iitjhome/m23mac003/VOX2/id03347/UkO3JubUo8Y/00181.wav,/iitjhome/m23mac003/TRAIN_MIX/94.wav,0,47
95,/iitjhome/m23mac003/VOX2/id00017/7t6lfzvVaTM/00008.wav,/iitjhome/m23mac003/VOX2/id03382/t_EroZzvoVs/00153.wav,/iitjhome/m23mac003/TRAIN_MIX/95.wav,0,48
96,/iitjhome/m23mac003/VOX2/id00017/lZf1RB6l5Gs/00154.wav,/iitjhome/m23mac003/VOX2/id03382/cAJHL9sQW1Q/00046.wav,/iitjhome/m23mac003/TRAIN_MIX/96.wav,0,48
97,/iitjhome/m23mac003/VOX2/id00017/MuKhvYeekXU/00035.wav,/iitjhome/m23mac003/VOX2/id03524/GkvScYvOJ7o/00088.wav,/iitjhome/m23mac003/TRAIN_MIX/97.wav,0,49
98,/iitjhome/m23mac003/VOX2/id00017/wrB-yyERH2s/00202.wav,/iitjhome/m23mac003/VOX2/id03524/XXbxe3fCQqg/00237.wav,/iitjhome/m23mac003/TRAIN_MIX/98.wav,0,49
99,/iitjhome/m23mac003/VOX2/id00061/4kSyBHethpE/00029.wav,/iitjhome/m23mac003/VOX2/id00081/hIBFutPzn8s/00158.wav,/iitjhome/m23mac003/TRAIN_MIX/99.wav,1,2
100,/iitjhome/m23mac003/VOX2/id00061/7O-tNnnxIDY/00038.wav,/iitjhome/m23mac003/VOX2/id00081/W_KwXZ91imU/00113.wav,/iitjhome/m23mac003/TRAIN_MIX/100.wav,1,2
101,/iitjhome/m23mac003/VOX2/id00061/2XrRfyv-EmE/00008.wav,/iitjhome/m23mac003/VOX2/id00154/9fjzHudmOZw/00012.wav,/iitjhome/m23mac003/TRAIN_MIX/101.wav,1,3
102,/iitjhome/m23mac003/VOX2/id00061/jT6eew_nWz4/00171.wav,/iitjhome/m23mac003/VOX2/id00154/NAj3Ktm1KvA/00067.wav,/iitjhome/m23mac003/TRAIN_MIX/102.wav,1,3
103,/iitjhome/m23mac003/VOX2/id00061/ljIkW4uVVQY/00225.wav,/iitjhome/m23mac003/VOX2/id00419/zpLQeknjPbo/00498.wav,/iitjhome/m23mac003/TRAIN_MIX/103.wav,1,4
104,/iitjhome/m23mac003/VOX2/id00061/mGDqSD9XeOQ/00236.wav,/iitjhome/m23mac003/VOX2/id00419/ag7_GcN_rEM/00309.wav,/iitjhome/m23mac003/TRAIN_MIX/104.wav,1,4
105,/iitjhome/m23mac003/VOX2/id00061/2XrRfyv-EmE/00008.wav,/iitjhome/m23mac003/VOX2/id00562/oK_SBiWlXgc/00214.wav,/iitjhome/m23mac003/TRAIN_MIX/105.wav,1,5
106,/iitjhome/m23mac003/VOX2/id00061/apa3AUHl8kY/00118.wav,/iitjhome/m23mac003/VOX2/id00562/9tqfxnIUShw/00075.wav,/iitjhome/m23mac003/TRAIN_MIX/106.wav,1,5
107,/iitjhome/m23mac003/VOX2/id00061/nrI2uwhFFto/00250.wav,/iitjhome/m23mac003/VOX2/id00812/COWfGElL6aU/00077.wav,/iitjhome/m23mac003/TRAIN_MIX/107.wav,1,6
108,/iitjhome/m23mac003/VOX2/id00061/VugwXDj1ka4/00103.wav,/iitjhome/m23mac003/VOX2/id00812/dX4t8xaz47s/00285.wav,/iitjhome/m23mac003/TRAIN_MIX/108.wav,1,6
109,/iitjhome/m23mac003/VOX2/id00061/jT6eew_nWz4/00193.wav,/iitjhome/m23mac003/VOX2/id00817/qnXTzrLxR8c/00364.wav,/iitjhome/m23mac003/TRAIN_MIX/109.wav,1,7
110,/iitjhome/m23mac003/VOX2/id00061/VugwXDj1ka4/00089.wav,/iitjhome/m23mac003/VOX2/id00817/1q_cQ40Jips/00037.wav,/iitjhome/m23mac003/TRAIN_MIX/110.wav,1,7
111,/iitjhome/m23mac003/VOX2/id00061/jT6eew_nWz4/00195.wav,/iitjhome/m23mac003/VOX2/id00866/OO12V7U4rSc/00164.wav,/iitjhome/m23mac003/TRAIN_MIX/111.wav,1,8
112,/iitjhome/m23mac003/VOX2/id00061/ktgmlqasFYA/00208.wav,/iitjhome/m23mac003/VOX2/id00866/E-6UQde2FZM/00122.wav,/iitjhome/m23mac003/TRAIN_MIX/112.wav,1,8
113,/iitjhome/m23mac003/VOX2/id00061/DM6gU2NY0wg/00047.wav,/iitjhome/m23mac003/VOX2/id00926/IKHSFiGVB6s/00017.wav,/iitjhome/m23mac003/TRAIN_MIX/113.wav,1,9
114,/iitjhome/m23mac003/VOX2/id00061/mGDqSD9XeOQ/00237.wav,/iitjhome/m23mac003/VOX2/id00926/daYw42Tsdgs/00110.wav,/iitjhome/m23mac003/TRAIN_MIX/114.wav,1,9
115,/iitjhome/m23mac003/VOX2/id00061/jT6eew_nWz4/00194.wav,/iitjhome/m23mac003/VOX2/id01000/w-heJCr7jto/00108.wav,/iitjhome/m23mac003/TRAIN_MIX/115.wav,1,10
116,/iitjhome/m23mac003/VOX2/id00061/jT6eew_nWz4/00183.wav,/iitjhome/m23mac003/VOX2/id01000/w-heJCr7jto/00140.wav,/iitjhome/m23mac003/TRAIN_MIX/116.wav,1,10
117,/iitjhome/m23mac003/VOX2/id00061/ljIkW4uVVQY/00228.wav,/iitjhome/m23mac003/VOX2/id01041/I1Ciwf_GXmo/00179.wav,/iitjhome/m23mac003/TRAIN_MIX/117.wav,1,11
118,/iitjhome/m23mac003/VOX2/id00061/jT6eew_nWz4/00175.wav,/iitjhome/m23mac003/VOX2/id01041/5dwDLHFBgz8/00058.wav,/iitjhome/m23mac003/TRAIN_MIX/118.wav,1,11
119,/iitjhome/m23mac003/VOX2/id00061/VugwXDj1ka4/00104.wav,/iitjhome/m23mac003/VOX2/id01066/kqP_NZ1FRlM/00177.wav,/iitjhome/m23mac003/TRAIN_MIX/119.wav,1,12
120,/iitjhome/m23mac003/VOX2/id00061/cAT9aR8oFx0/00146.wav,/iitjhome/m23mac003/VOX2/id01066/wEzAUg4xt5c/00272.wav,/iitjhome/m23mac003/TRAIN_MIX/120.wav,1,12
121,/iitjhome/m23mac003/VOX2/id00061/2XrRfyv-EmE/00007.wav,/iitjhome/m23mac003/VOX2/id01106/WRjuuae075U/00186.wav,/iitjhome/m23mac003/TRAIN_MIX/121.wav,1,13
122,/iitjhome/m23mac003/VOX2/id00061/JT0TyEXWHe4/00061.wav,/iitjhome/m23mac003/VOX2/id01106/WRjuuae075U/00168.wav,/iitjhome/m23mac003/TRAIN_MIX/122.wav,1,13
123,/iitjhome/m23mac003/VOX2/id00061/0G9G9oyFHI8/00001.wav,/iitjhome/m23mac003/VOX2/id01224/hbpFgUKBaIw/00281.wav,/iitjhome/m23mac003/TRAIN_MIX/123.wav,1,14
